time,ball_type,label,size_mm,w@40N,comp_total_5to40,creep_1p5s,contact_N,verdict,force_width_points
17:53:33,baseball,소프트,71.2,68.1,3.1,0.2,10.0,🟠 소프트 (야구),10:71.2;40:68.1
17:53:50,baseball,소프트,70.9,68.1,2.8,0.0,10.0,🟠 소프트 (야구),10:70.9;40:68.1
17:54:06,baseball,소프트,73.0,69.2,3.8,0.0,10.0,🟠 소프트 (야구),10:73.0;40:69.2
17:54:27,baseball,소프트,71.3,68.2,3.1,0.0,10.0,🟠 소프트 (야구),10:71.3;40:68.2
17:54:43,baseball,소프트,70.8,67.9,2.9,0.0,10.0,🟠 소프트 (야구),10:70.8;40:67.9
17:55:15,baseball,소프트,70.8,67.7,3.1,0.0,10.0,🟠 소프트 (야구),10:70.8;40:67.7
17:55:31,baseball,소프트,70.7,67.3,3.4,0.0,10.0,🟠 소프트 (야구),10:70.7;40:67.3
17:56:01,baseball,하드,69.8,68.1,1.7,0.0,10.0,🟠 소프트 (야구),10:69.8;40:68.1
17:56:21,baseball,하드,72.0,69.7,2.3,0.1,10.0,🟠 소프트 (야구),10:72.0;40:69.7
17:56:38,baseball,하드,69.8,68.3,1.5,0.0,10.0,🟡 하드 (야구),10:69.8;40:68.3
17:56:53,baseball,하드,73.0,71.3,1.7,0.0,10.0,🟠 소프트 (야구),10:73.0;40:71.3
17:57:16,baseball,하드,69.4,67.8,1.6,0.0,10.0,🔵 무압 (정상),10:69.4;40:67.8
17:57:33,baseball,하드,69.1,67.7,1.4,0.0,10.0,🔵 무압 (정상),10:69.1;40:67.7
17:57:51,baseball,하드,69.4,67.7,1.7,0.0,5.0,🟢 유압 (정상),5:69.4;40:67.7
17:58:12,baseball,하드,72.4,70.8,1.6,0.0,10.0,🟠 소프트 (야구),10:72.4;40:70.8
17:59:02,tennis,무압,64.6,62.2,2.4,0.0,5.0,🟢 유압 (정상),5:64.6;40:62.2
17:59:14,tennis,무압,63.6,60.8,2.8,0.0,5.0,🟢 유압 (정상),5:63.6;40:60.8
17:59:26,tennis,무압,63.6,60.9,2.7,0.0,5.0,🟢 유압 (정상),5:63.6;40:60.9
17:59:37,tennis,무압,63.6,61.1,2.5,0.2,5.0,🟢 유압 (정상),5:63.6;40:61.1
17:59:47,tennis,무압,64.0,61.6,2.4,0.0,5.0,🟢 유압 (정상),5:64.0;40:61.6
17:59:59,tennis,무압,63.9,61.6,2.3,0.0,5.0,🟢 유압 (정상),5:63.9;40:61.6
18:00:11,tennis,무압,63.6,61.1,2.5,0.0,5.0,🟢 유압 (정상),5:63.6;40:61.1
18:00:24,tennis,무압,63.5,61.1,2.4,0.0,5.0,🟢 유압 (정상),5:63.5;40:61.1
18:00:49,tennis,구멍,64.6,58.6,6.0,0.0,5.0,🔴 구멍 (불량),5:64.6;40:58.6
18:01:45,tennis,구멍,64.4,56.6,7.8,0.0,5.0,⚠️ 접촉감지 오류 (재시도),5:64.4;40:56.6
18:02:06,tennis,구멍,64.6,56.6,8.0,0.0,5.0,⚠️ 접촉감지 오류 (재시도),5:64.6;40:56.6
18:02:19,tennis,구멍,64.9,58.6,6.3,0.0,5.0,⚠️ 접촉감지 오류 (재시도),5:64.9;40:58.6
18:02:33,tennis,구멍,64.8,57.6,7.2,0.0,5.0,⚠️ 접촉감지 오류 (재시도),5:64.8;40:57.6
18:02:49,tennis,구멍,64.6,57.6,7.0,0.0,5.0,⚠️ 접촉감지 오류 (재시도),5:64.6;40:57.6
